a,cx,cz,cy,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,-2.0,17.9,0.0,5.9,25.5,0.0,0.0,-4.618141019484028,,,-1.8040347741916776,-1.8040347741916776,-0.1366340273525566,-0.2297000354155898,-0.2297627865336835,-0.1366340273525566,-1.039024782832712,-1.039024782832712,-0.1848456206498667,-0.1848456206498667,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=0.0_cz=17.9.log
7.3,1.4,18.2,-0.8,5.9,25.5,2.2,2.1,-5.03590893978253,,,-0.9254580230917782,-1.417162308935076,-0.0762612903490662,-0.3269076098222285,-0.0304907108657062,-0.3680408899672329,-0.0760981376515701,-0.1688566658413037,-2.0143949514022097,-1.2043987683719024,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-0.8_cz=18.2.log
7.3,0.1,18.4,1.5,5.9,25.5,2.2,2.1,-5.661941153462976,,,-1.05785635788925,-0.9046748916152864,-0.0232115949038416,-1.7519890947733074,-0.0214922174345701,-1.8776103216223416,-0.0531187215819954,-0.4817206016741693,-2.077478531631641,-0.2312060594558715,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.5_cz=18.4.log
7.3,-2.1,17.8,0.6,5.9,25.5,2.2,2.1,-4.229806455783546,,,-1.5398154135327786,-1.9579818022903053,-0.0166854907292872,-0.7938629009295255,-0.0631275060586631,-0.8981425126548856,-0.1276480841916054,-0.8610127461142838,-0.4373744699405506,-0.1689633424393832,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.6_cz=17.8.log
7.3,-0.1,18.2,-1.9,5.9,25.5,0.0,0.0,-3.097056780126877,,,-0.7408508562948555,-0.3156689056195318,-0.7174949340987951,-0.0725464310962706,-0.7341364992316812,-0.0693147545680403,-0.729643527767621,-0.2041101778158918,-0.1923129897331819,-0.6459838943555951,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-1.9_cz=18.2.log
7.3,-2.0,17.7,0.1,5.9,25.5,0.0,0.0,-4.475890778470784,,,-1.6144765531644223,-1.7075927623081952,-0.1481300108134746,-0.2668423524592072,-0.2409010892733931,-0.1746674084570258,-1.0383784477598963,-0.9598706716205924,-0.2044992339797318,-0.1968373368727043,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=0.1_cz=17.7.log
7.3,1.4,18.3,-0.8,5.9,25.5,2.2,2.1,-5.022169608506374,,,-1.118197719566524,-1.4247677300591022,-0.0710780578665435,-0.3068210144992918,-0.0275539639405906,-0.3535014833323657,-0.0719377463683486,-0.1610065158456564,-2.026675322209485,-1.1115900394506752,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-0.8_cz=18.3.log
7.3,0.1,18.5,1.5,5.9,25.5,2.2,2.1,-5.629762440803461,,,-1.116810922510922,-1.014570718165487,-0.0217808720190078,-1.7502948176115751,-0.0201430709566921,-1.846718004206196,-0.0499435208039358,-0.4455634754849598,-2.031720502651297,-0.2173757391283288,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.5_cz=18.5.log
7.3,-2.1,17.9,0.6,5.9,25.5,2.2,2.1,-4.312942118267529,,,-1.636276250705123,-1.873449930222705,-0.0151606416329741,-0.7667230933438987,-0.0599021045491099,-0.908220323268324,-0.1163278036983683,-0.9801266941940412,-0.4242093102075159,-0.1624121383065357,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=-2.1_cy=0.6_cz=17.9.log
7.3,-0.1,18.3,-1.9,5.9,25.5,0.0,0.0,-3.1759096862515435,,,-0.944201746955514,-0.6510792756453156,-0.6579128592275083,-0.0689194232691079,-0.670908591710031,-0.0657881484366953,-0.6740524166962132,-0.1924635920440778,-0.1817394462414086,-0.5982492086477578,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.1_cy=-1.9_cz=18.3.log
7.3,-2.0,17.8,0.1,5.9,25.5,0.0,0.0,-4.616609895252623,,,-1.748908020555973,-1.799108820501715,-0.1369352319743484,-0.2539030963089317,-0.2295306078158319,-0.1607680621091276,-1.0483119309647009,-1.0184738303069023,-0.1962725778575986,-0.1889746364904567,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.0_cy=0.1_cz=17.8.log
7.3,1.4,18.4,-0.8,5.9,25.5,2.2,2.1,-4.902804655954242,,,-1.195412825094536,-1.387914067832753,-0.0662274055648595,-0.2877007848583162,-0.0249309721402823,-0.3392946571111679,-0.0679907083977013,-0.153445020201616,-2.008728535962291,-1.0219000350916758,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=1.4_cy=-0.8_cz=18.4.log
7.3,0.1,18.6,1.5,5.9,25.5,2.2,2.1,-5.492177735432051,,,-1.1059047987218946,-1.038930656388402,-0.0204380007926374,-1.7219501910731196,-0.018856675364077,-1.7992343225050718,-0.0469628482824191,-0.4119854152668267,-1.9762423433130607,-0.2043298061471432,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=2.2_R4=2.1_cx=0.1_cy=1.5_cz=18.6.log
