a,b,theta,R3,R4,cx,cz,cy,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
7.3,5.9,25.5,-0.1,2.1,-0.2,18.4,1.4,-5.72920395,-0.808734888,-1.077058164,-0.02133534,-1.924259415,-0.024861946,-1.81411886,-0.250301189,-2.142130887,-0.44741463,-0.054172938,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,2,17.9,0.4,-4.427286991,-1.846805856,-1.691308878,-0.063968369,-0.897973085,-0.017783633,-0.712575256,-0.177723382,-0.44143446,-1.067350584,-0.125571026,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.4_cz=17.9.log
7.3,5.9,25.5,-0.1,2.1,-1.5,18.2,-0.8,-5.066409063,-1.508094783,-1.074052391,-0.029034888,-0.360705298,-0.076945276,-0.315210823,-1.237493646,-1.910654998,-0.162129759,-0.074108931,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.8_cz=18.2.log
7.3,5.9,25.5,-0.1,2.1,-0.2,18.6,1.4,-5.560726928,-1.011144514,-1.125119155,-0.018649597,-1.793542807,-0.021906374,-1.736583724,-0.220099133,-2.054417539,-0.384795407,-0.047941764,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.6.log
7.3,5.9,25.5,-0.1,2.1,2,18,0.4,-4.339328914,-1.786276241,-1.709575694,-0.060554715,-0.861784583,-0.016152107,-0.687336804,-0.170576043,-0.427579039,-1.065926137,-0.114407623,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.4_cz=18.0.log
7.3,5.9,25.5,-0.1,2.1,-1.5,18.3,-0.8,-5.049761223,-1.476349052,-1.207166087,-0.026217368,-0.346686725,-0.071780869,-0.295720363,-1.145695208,-1.967275225,-0.15471259,-0.070117968,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.8_cz=18.3.log
7.3,5.9,25.5,-0.1,2.1,-0.2,18.4,1.5,-5.658853805,-0.827497437,-1.129342297,-0.020619979,-1.915838231,-0.024039908,-1.665066409,-0.238974633,-2.120644945,-0.455396557,-0.052635539,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.5_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,2,17.8,0.5,-4.39729515,-1.891572419,-1.474774002,-0.06526104,-0.938911838,-0.018611947,-0.783019528,-0.181093111,-0.462914127,-1.034607113,-0.132605413,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=2.0_cy=0.5_cz=17.8.log
7.3,5.9,25.5,-0.1,2.1,-1.5,18.4,-0.8,-4.929596196,-1.410636205,-1.242965533,-0.023701053,-0.333076033,-0.066949042,-0.277183717,-1.055132965,-1.983289281,-0.147577802,-0.066340357,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.8_cz=18.4.log
7.3,5.9,25.5,-0.1,2.1,-0.2,18.5,1.5,-5.651518213,-0.961019015,-1.162305398,-0.019302208,-1.87470495,-0.022596635,-1.683239099,-0.224290899,-2.094032246,-0.422082051,-0.049529364,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.5_cz=18.5.log
