cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.6,0.5,18.1,7.3,5.9,25.5,-0.1,2.1,-4.227224252186716,-1.4574735511559993,-1.2286018289159983,-0.0541164623573422,-1.017319211969152,-0.0178652096074074,-0.831067968858406,-0.192105911206454,-0.5567394220270216,-1.0751003328477964,-0.1000564696732908,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.6_cy=0.5_cz=18.1.log
-2.1,0.0,18.0,7.3,5.9,25.5,0.0,0.0,-4.395952278631739,-1.797533770557493,-1.797533770557493,-0.1206136969849467,-0.2144891931675374,-0.2144640928599983,-0.1206136969849467,-0.9627446671947836,-0.9627446671947836,-0.1689194168429821,-0.1689194168429821,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=0.0_cz=18.0.log
-0.2,1.4,18.5,7.3,5.9,25.5,-0.1,2.1,-5.69921211025212,-0.9591678602155298,-1.1354981705080718,-0.0199548180680722,-1.862989338580519,-0.0233433719258755,-1.7865523456130177,-0.2347514909924939,-2.104800317203626,-0.4149472624994814,-0.0509600871009752,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-0.2_cy=1.4_cz=18.5.log
-1.5,-0.5,18.3,7.3,5.9,25.5,-0.1,2.1,-4.747521031647921,-1.399786557070911,-1.307354334043339,-0.0233872975222766,-0.4162148328032344,-0.0654618432745337,-0.390832053264603,-1.0481801538262516,-1.6635478351963684,-0.1667733326321467,-0.0675012510037049,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.5_cz=18.3.log
-0.2,-1.2,18.3,7.3,5.9,25.5,0.0,0.0,-2.6633563805371523,-0.644126464612782,-0.3393511327449232,-0.4284261774737388,-0.1006212285719811,-0.4407818492036313,-0.092469873605296,-0.6309173791669309,-0.2739708659937605,-0.2366340209264308,-0.4989457513438537,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.2_cz=18.3.log
-0.2,1.4,18.5,7.3,5.9,25.5,0.0,0.0,-2.954103726428002,-0.9591678602155298,-1.1354981705080718,-0.0740399048663675,-0.4160705055110156,-0.0811809687875211,-0.4014118718914687,-0.2200991325080394,-0.5588478556601331,-0.4474146299762651,-0.1940574673935771,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=1.4_cz=18.5.log
1.6,0.5,18.3,7.3,5.9,25.5,-0.1,2.1,-3.993972509982996,-1.465298600960523,-1.3902735053561628,-0.0481990431435406,-0.9285892979241908,-0.0147966856602579,-0.7647338868118823,-0.175439245882444,-0.5186809406150132,-0.909412592300214,-0.0844942212570458,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=1.6_cy=0.5_cz=18.3.log
-2.1,0.0,18.2,7.3,5.9,25.5,0.0,0.0,-4.026075922360178,-1.5883721372811124,-1.58836586214602,-0.1024472827557474,-0.1940574673935771,-0.1940072667784989,-0.1024472827557474,-0.9151856844546272,-0.9151856844546272,-0.1554279519477859,-0.1554279519477859,1,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-2.1_cy=0.0_cz=18.2.log
-1.5,-0.5,18.5,7.3,5.9,25.5,-0.1,2.1,-4.64219034044072,-1.31428831955418,-1.2731675889808685,-0.0190072781406343,-0.3834023349918425,-0.0572414621710777,-0.3404492754489183,-0.8825112386839464,-1.8539092688588423,-0.1514997392660007,-0.06049196398817,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=-0.1_R4=2.1_cx=-1.5_cy=-0.5_cz=18.5.log
-0.2,-1.2,18.5,7.3,5.9,25.5,0.0,0.0,-2.8177834540838376,-1.0170493826735765,-0.8920933164190501,-0.3533759813290089,-0.0898468818049877,-0.3668235207442194,-0.082128508714959,-0.5361508191563189,-0.2403175046201795,-0.2099962214706465,-0.4306601129937917,2,Done,hexacene_a=7.3_b=5.9_theta=25.5_R3=0.0_R4=0.0_cx=-0.2_cy=-1.2_cz=18.5.log
