cx,cy,cz,A2,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4
1.6,-0.9,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.366505053,-1.1793812,-1.698211488,-0.099363698,-0.315863434,-0.045348893,-0.313879247,-0.079711968,-0.148123108,-1.857148476,-1.455497522
1.6,-1,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.361298603,-1.096195964,-1.708279258,-0.102748487,-0.288396066,-0.047560238,-0.296324027,-0.080562871,-0.144403229,-1.893761802,-1.472818681
1.5,-0.8,13.3,-1,7.4,5.8,25.5,2.1,1.9,-5.360763337,-1.235995152,-1.588507679,-0.089578308,-0.337207559,-0.040827056,-0.3262801,-0.076990457,-0.151268816,-1.992737071,-1.330569067
1.5,-0.9,13.3,-1,7.4,5.8,25.5,2.1,1.9,-5.359031409,-1.201772011,-1.608505168,-0.09256149,-0.307664388,-0.042581574,-0.307668153,-0.077855793,-0.14747991,-1.991578688,-1.361740626
1.5,-0.8,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.357391726,-1.043896771,-1.625714002,-0.095796932,-0.36051579,-0.045036393,-0.339599627,-0.081254387,-0.158420547,-1.942970508,-1.419466526
1.6,-0.9,13.3,-1,7.4,5.8,25.5,2.1,1.9,-5.35722167,-1.316691683,-1.613639455,-0.092914151,-0.296040393,-0.040988953,-0.301890041,-0.075592992,-0.141581316,-1.925534515,-1.383430509
1.5,-1,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.349350185,-0.917341809,-1.697038044,-0.102527604,-0.299677441,-0.049373742,-0.301907611,-0.083062871,-0.150443012,-1.961053464,-1.470857712
1.6,-1,13.3,-1,7.4,5.8,25.5,2.1,1.9,-5.333200587,-1.255681396,-1.610623642,-0.095956319,-0.27043673,-0.042848893,-0.285063988,-0.07638742,-0.138056593,-1.930781126,-1.407669965
1.5,-1,13.3,-1,7.4,5.8,25.5,2.1,1.9,-5.310820443,-1.147424625,-1.618437396,-0.095641309,-0.28112197,-0.044476654,-0.290262281,-0.078688499,-0.143704183,-1.961466365,-1.388279279
1.6,-0.8,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.299039885,-1.238771256,-1.677596529,-0.096089351,-0.347063231,-0.043317643,-0.332698272,-0.078830316,-0.151855537,-1.771387311,-1.429198578
1.4,-0.8,13.3,-1,7.4,5.8,25.5,2.1,1.9,-5.295629054,-1.07995224,-1.542873897,-0.089092615,-0.349718853,-0.042512547,-0.332397067,-0.079248865,-0.157637415,-2.044228659,-1.296240504
1.4,-0.9,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.285910806,-0.768274298,-1.608314405,-0.098733678,-0.340286123,-0.049001001,-0.326073021,-0.084679337,-0.16096008,-2.022275222,-1.422654904
1.4,-0.8,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.283018613,-0.806197238,-1.540970032,-0.09539909,-0.373702285,-0.046876252,-0.346192247,-0.083714854,-0.165220245,-2.038025095,-1.391389846
1.4,-0.9,13.3,-1,7.4,5.8,25.5,2.1,1.9,-5.274680887,-1.056159571,-1.581587499,-0.092095878,-0.319132761,-0.044290911,-0.313187731,-0.080153107,-0.15359876,-2.009784008,-1.327917837
1.5,-0.7,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.272195948,-1.073675885,-1.572700703,-0.092609181,-0.396969101,-0.043141313,-0.360425429,-0.080285512,-0.162415903,-1.873754273,-1.385979454
1.5,-0.9,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.248953605,-0.616475864,-1.688364601,-0.106153357,-0.350072769,-0.052265308,-0.332951786,-0.086726275,-0.161623986,-1.905293553,-1.52216795
1.4,-1,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.243380689,-0.705691471,-1.660929864,-0.102171178,-0.310793153,-0.051310238,-0.307240191,-0.085610562,-0.156709955,-1.983516439,-1.448475685
1.5,-1,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.234771565,-0.51173566,-1.744919567,-0.109918417,-0.319160999,-0.054855669,-0.313870462,-0.087666912,-0.157428454,-1.926553592,-1.535892221
1.4,-0.7,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.233431518,-0.822868923,-1.461436904,-0.092173689,-0.411386771,-0.044937246,-0.367955549,-0.08270268,-0.169470998,-2.024027857,-1.35685044
1.6,-1,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.232021503,-0.786002711,-1.78525089,-0.110032624,-0.307243956,-0.052863952,-0.307866446,-0.084946029,-0.150980789,-1.811374131,-1.510090265
1.4,-1,13.3,-1,7.4,5.8,25.5,2.1,1.9,-5.217094922,-1.01215355,-1.608270479,-0.095199542,-0.291651588,-0.046233682,-0.295207059,-0.081028484,-0.149565753,-1.956086095,-1.35605664
1.6,-0.9,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.214831493,-0.900109129,-1.755321173,-0.106292664,-0.337068251,-0.050312497,-0.326228644,-0.084049944,-0.154899588,-1.733653252,-1.504562529
1.5,-0.8,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.192547359,-0.691677917,-1.616015208,-0.102491208,-0.385342596,-0.049826804,-0.353279345,-0.085741712,-0.165827675,-1.843643205,-1.498018227
1.6,-0.7,13.2,-1,7.4,5.8,25.5,2.1,1.9,-5.153943571,-1.276803382,-1.647396983,-0.092925446,-0.382227636,-0.041459586,-0.352734666,-0.077909132,-0.155601145,-1.625966261,-1.397693184
1.4,-0.9,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.139051817,-0.285848375,-1.583401003,-0.105857172,-0.362821889,-0.054347386,-0.339343603,-0.089456571,-0.168588092,-2.004185991,-1.51101145
1.4,-1,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.114989632,-0.198101142,-1.671409281,-0.109646077,-0.330879748,-0.056991713,-0.319633514,-0.090454939,-0.16410767,-1.985681349,-1.531414937
1.6,-0.8,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.109828363,-0.98580817,-1.711927601,-0.102666911,-0.371111924,-0.047917919,-0.345912377,-0.083109307,-0.158835331,-1.598749898,-1.486461376
1.4,-0.8,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.105904543,-0.342698271,-1.477177365,-0.102182473,-0.399245707,-0.051853661,-0.360431704,-0.088423689,-0.173062866,-1.9951944,-1.482428997
1.5,-0.7,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.063007332,-0.740904822,-1.530426609,-0.098944522,-0.424351127,-0.047562748,-0.375136773,-0.08471385,-0.170025717,-1.732225667,-1.467378797
1.4,-0.7,13.1,-1,7.4,5.8,25.5,2.1,1.9,-5.015286765,-0.373485167,-1.355852699,-0.098609432,-0.439613426,-0.049526854,-0.383301933,-0.087341862,-0.177555837,-1.951388555,-1.448805756
1.6,-0.7,13.1,-1,7.4,5.8,25.5,2.1,1.9,-4.912691076,-1.045687684,-1.656873639,-0.099176701,-0.408736169,-0.045711594,-0.366827286,-0.082128509,-0.162772956,-1.395860854,-1.460422221
1.5,-0.9,13,-1,7.4,5.8,25.5,2.1,1.9,-4.907729668,-0.02163529,-1.654234959,-0.113680967,-0.373473872,-0.058008279,-0.346145811,-0.091513548,-0.169066254,-1.790412787,-1.57314749
