cx,cy,cz,A2,a,b,theta,R3,R4,E,E_t1,E_t2,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
1.4,-0.7,13.1,-2.0,7.4,5.7,25.5,2.1,1.9,-5.192449466674589,,,-0.4332856148248538,-1.6033884515054524,-0.098765054019168,-0.5426794331287965,-0.0536734402412548,-0.3783245239173993,-0.087774216197431,-0.1792306612478569,-1.89962148986524,-1.4707648405455984,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.7_cz=13.1.log
1.4,-0.7,13.1,-1.0,7.4,5.8,25.5,2.1,1.9,-5.0152867649158,,,-0.3734851668123156,-1.3558526993147098,-0.0986094315303489,-0.4396134256385267,-0.0495268543018028,-0.3833019331796095,-0.0873418619157746,-0.1775558369699865,-1.9513885549386032,-1.4488057557027787,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.7_cz=13.1.log
1.4,-0.7,13.2,-0.5,7.4,5.8,25.5,2.1,1.9,-5.159491072787205,,,-0.7775997243006714,-1.3646547819953412,-0.09358056623023,-0.3887261297786608,-0.0444126478396356,-0.3821485699154436,-0.08269264025148,-0.1696328957332298,-2.027646707603708,-1.3539576191687956,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.7_cz=13.2.log
1.4,-0.7,13.2,-1.5,7.4,5.8,25.5,2.1,1.9,-5.29026447085198,,,-0.8410001972224563,-1.5502985956845805,-0.0907592814182862,-0.435473114834167,-0.0455007501877844,-0.3546134310308844,-0.082683855027426,-0.1692607823642902,-2.02035755146062,-1.3591395968105644,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.7_cz=13.2.log
1.4,-0.7,13.1,-2.5,7.5,5.7,25.5,2.1,1.9,-5.32201961404644,,,-0.4447502224938944,-1.701394218369387,-0.0970594816608354,-0.5751995113678277,-0.0546573761384934,-0.3648845147108659,-0.0863334533059969,-0.1749799084500409,-1.9852791149169209,-1.456454475002829,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.7_cz=13.1.log
0.2,1.5,13.4,0.0,7.4,5.8,25.5,2.1,1.9,-5.318124659941532,,,-1.0272137897554785,-0.5942620099522173,-0.0309977390570566,-1.4577622058568522,-0.027216363698244,-1.8152672031428665,-0.0600803174893371,-0.442269048129674,-2.068785635754466,-0.2706300028366968,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.2_cy=1.5_cz=13.4.log
1.4,-0.7,13.2,-1.0,7.4,5.8,25.5,2.1,1.9,-5.233431517612189,,,-0.8228689233073965,-1.4614369043847546,-0.0921736889285966,-0.4113867708947509,-0.044937246129848,-0.3679555488051846,-0.0827026804327033,-0.1694709982839413,-2.024027857405599,-1.3568504402646795,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.0_cx=1.4_cy=-0.7_cz=13.2.log
1.4,-0.7,13.2,-2.0,7.4,5.7,25.5,2.1,1.9,-5.371882813749835,,,-0.8435340826399624,-1.6272865424398333,-0.0924322229111567,-0.5077986621763557,-0.0483295652084052,-0.3631663924315944,-0.0831419373862445,-0.1710824439069256,-1.997934736602474,-1.3784499619505368,1,Done,tetracene_a=7.4_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.0_cx=1.4_cy=-0.7_cz=13.2.log
1.4,-0.7,13.3,-0.5,7.4,5.8,25.5,2.1,1.9,-5.229387215338647,,,-1.0638955142349005,-1.429300862364471,-0.0873945727944374,-0.3634901875630021,-0.0403388526756316,-0.3666503279237076,-0.0782724599121138,-0.1618172586895525,-2.053932473878376,-1.2598298640805297,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-0.5_cx=1.4_cy=-0.7_cz=13.3.log
1.4,-0.7,13.3,-1.5,7.4,5.8,25.5,2.1,1.9,-5.313878299435601,,,-1.0898279924876988,-1.551490864600055,-0.0849523037904873,-0.4070469116559252,-0.0412788627436384,-0.3403714642627164,-0.0782994428300298,-0.1614922086009755,-2.0523712289868854,-1.2642312192474492,2,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=-1.5_cx=1.4_cy=-0.7_cz=13.3.log
1.4,-0.7,13.2,-2.5,7.5,5.7,25.5,2.1,1.9,-5.445346037042327,,,-0.8433558696415275,-1.6890573718119413,-0.090933729079552,-0.5383834997192025,-0.0491679185070097,-0.350337577983737,-0.0818298141239211,-0.1671247382764704,-2.0551234880113043,-1.3606500132591464,1,Done,tetracene_a=7.5_b=5.7_theta=25.5_R3=2.1_R4=1.9_A2=-2.5_cx=1.4_cy=-0.7_cz=13.2.log
0.2,1.5,13.5,0.0,7.4,5.8,25.5,2.1,1.9,-5.421756681054831,,,-1.1442017338704318,-0.8530345839681104,-0.0292118454817682,-1.4911319327075034,-0.0255735424580052,-1.7848442632239312,-0.056602657015901,-0.410440485808067,-2.036345251253806,-0.2543693361221812,1,Done,tetracene_a=7.4_b=5.8_theta=25.5_R3=2.1_R4=1.9_A2=0.0_cx=0.2_cy=1.5_cz=13.5.log
