cx,cy,cz,a,b,theta,R3,R4,E,E_i01,E_i02,E_ip1,E_ip2,E_ip3,E_ip4,E_it1,E_it2,E_it3,E_it4,machine_type,status,file_name
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
-0.3,1.4,13.5,7.3,5.9,25.5,-0.2,1.9,-5.568005416,-0.777700753,-1.155381452,-0.024631022,-1.777455961,-0.030071534,-1.695173084,-0.274550685,-2.116175191,-0.389993072,-0.057079565,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.4_cz=13.5.log
-0.2,1.4,13.5,7.3,5.9,25.5,-0.2,1.9,-5.563355568,-0.835981372,-1.09440254,-0.025573542,-1.78618337,-0.029211845,-1.730589749,-0.265022573,-2.078192011,-0.411404969,-0.057764805,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.2_cy=1.4_cz=13.5.log
-0.2,1.5,13.5,7.3,5.9,25.5,-0.2,1.9,-5.559840257,-0.853033329,-1.144201734,-0.024695029,-1.814977293,-0.02821787,-1.665687644,-0.252842604,-2.067102026,-0.418389782,-0.056099394,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.2_cy=1.5_cz=13.5.log
-0.1,1.5,13.5,7.3,5.9,25.5,-0.2,1.9,-5.533552608,-0.927768515,-1.07554712,-0.025599898,-1.794502897,-0.027358181,-1.718806366,-0.24425262,-2.006018948,-0.441788375,-0.056701176,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.1_cy=1.5_cz=13.5.log
-0.3,1.5,13.5,7.3,5.9,25.5,-0.2,1.9,-5.52806817,-0.7806375,-1.206705495,-0.023783884,-1.823277996,-0.029047438,-1.604425098,-0.261660375,-2.0806393,-0.396368574,-0.055461216,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.5_cz=13.5.log
-0.1,1.4,13.5,7.3,5.9,25.5,-0.2,1.9,-5.513701956,-0.898759983,-1.030011229,-0.026503512,-1.785993862,-0.028325801,-1.75798056,-0.255689617,-2.001666539,-0.434149068,-0.058409258,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.1_cy=1.4_cz=13.5.log
-0.3,1.3,13.5,7.3,5.9,25.5,-0.2,1.9,-5.51298032,-0.750884741,-1.078027039,-0.025515812,-1.704901999,-0.031132026,-1.701898737,-0.287842602,-2.136881138,-0.383359037,-0.058717366,1,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.3_cz=13.5.log
-0.3,1.4,13.6,7.3,5.9,25.5,-0.2,1.9,-5.512113729,-0.935463043,-1.18316634,-0.023118723,-1.700193164,-0.028349647,-1.634848038,-0.257362559,-2.085883401,-0.3625119,-0.053786392,2,Done,tetracene_a=7.3_b=5.9_theta=25.5_R3=-0.2_R4=1.9_cx=-0.3_cy=1.4_cz=13.6.log
